id_incidencia,id_empleado,sucursal,ciudad,tipo_incidencia,id_cliente,tipo_cliente,fecha_creacion,fecha_finalizacion,estado,indice_satisfaccion
251,EMP001,Sucursal_A,Madrid,Problema Software,CL001,Premium,2024-01-08 09:15:22,2024-01-08 10:05:09,Cerrado,4
252,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL002,Basico,2024-01-08 11:30:47,2024-01-08 13:45:02,Cerrado,3
253,EMP003,Sucursal_A,Madrid,Consulta Factura,CL003,Empresarial,2024-01-08 14:55:31,2024-01-08 15:10:46,Cerrado,5
254,EMP004,Sucursal_A,Madrid,Error Sistema,CL004,Basico,2024-01-08 16:20:58,2024-01-08 17:55:23,Cerrado,2
255,EMP005,Sucursal_B,Barcelona,Instalación Software,CL005,Premium,2024-01-09 09:45:44,2024-01-09 11:00:17,Cerrado,4
256,EMP006,Sucursal_B,Barcelona,Configuración Red,CL006,Empresarial,2024-01-09 12:55:29,2024-01-09 14:20:56,Cerrado,3
257,EMP007,Sucursal_B,Barcelona,Problema Software,CL007,Basico,2024-01-09 15:15:14,2024-01-09 16:05:01,Cerrado,4
258,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL008,Premium,2024-01-09 17:40:38,2024-01-09 19:55:13,Cerrado,5
259,EMP009,Sucursal_C,Valencia,Consulta Factura,CL009,Empresarial,2024-01-10 08:30:53,2024-01-10 08:46:08,Cerrado,5
260,EMP010,Sucursal_C,Valencia,Error Sistema,CL010,Basico,2024-01-10 10:05:19,2024-01-10 12:20:44,Cerrado,2
261,EMP011,Sucursal_C,Valencia,Instalación Software,CL001,Premium,2024-01-10 13:15:37,2024-01-10 14:30:54,Cerrado,4
262,EMP012,Sucursal_C,Valencia,Configuración Red,CL002,Basico,2024-01-10 15:40:48,2024-01-10 17:05:15,Cerrado,3
263,EMP001,Sucursal_A,Madrid,Problema Software,CL003,Empresarial,2024-01-11 09:25:22,2024-01-11 10:15:09,Cerrado,5
264,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL004,Basico,2024-01-11 11:40:47,2024-01-11 13:55:02,Cerrado,1
265,EMP003,Sucursal_A,Madrid,Consulta Factura,CL005,Premium,2024-01-11 15:05:31,2024-01-11 15:20:46,Cerrado,4
266,EMP004,Sucursal_A,Madrid,Error Sistema,CL006,Empresarial,2024-01-11 16:30:58,2024-01-11 18:05:23,Cerrado,3
267,EMP005,Sucursal_B,Barcelona,Instalación Software,CL007,Basico,2024-01-12 09:55:44,2024-01-12 11:10:17,Cerrado,4
268,EMP006,Sucursal_B,Barcelona,Configuración Red,CL008,Premium,2024-01-12 13:05:29,2024-01-12 14:30:56,Cerrado,5
269,EMP007,Sucursal_B,Barcelona,Problema Software,CL009,Empresarial,2024-01-12 15:25:14,2024-01-12 16:15:01,Cerrado,5
270,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL010,Basico,2024-01-12 17:50:38,2024-01-12 20:05:13,Cerrado,2
271,EMP009,Sucursal_C,Valencia,Consulta Factura,CL001,Premium,2024-01-15 08:35:53,2024-01-15 08:51:08,Cerrado,4
272,EMP010,Sucursal_C,Valencia,Error Sistema,CL002,Basico,2024-01-15 10:10:19,2024-01-15 12:25:44,Cerrado,3
273,EMP011,Sucursal_C,Valencia,Instalación Software,CL003,Empresarial,2024-01-15 13:20:37,2024-01-15 14:35:54,Cerrado,5
274,EMP012,Sucursal_C,Valencia,Configuración Red,CL004,Basico,2024-01-15 15:45:48,2024-01-15 17:10:15,Cerrado,3
275,EMP001,Sucursal_A,Madrid,Problema Software,CL005,Premium,2024-01-16 09:10:22,2024-01-16 10:00:09,Abierto,
276,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL006,Empresarial,2024-01-16 11:25:47,2024-01-16 13:40:02,Abierto,
277,EMP003,Sucursal_A,Madrid,Consulta Factura,CL007,Basico,2024-01-16 14:50:31,2024-01-16 15:05:46,Abierto,
278,EMP004,Sucursal_A,Madrid,Error Sistema,CL008,Premium,2024-01-16 16:15:58,2024-01-16 17:50:23,Abierto,
279,EMP005,Sucursal_B,Barcelona,Instalación Software,CL009,Empresarial,2024-01-17 09:30:44,2024-01-17 10:45:17,Abierto,
280,EMP006,Sucursal_B,Barcelona,Configuración Red,CL010,Basico,2024-01-17 12:40:29,2024-01-17 14:05:56,Abierto,
281,EMP007,Sucursal_B,Barcelona,Problema Software,CL001,Premium,2024-01-18 08:45:33,2024-01-18 09:35:20,Cerrado,4
282,EMP008,Sucursal_B,Barcelona,Fallo Hardware,CL002,Basico,2024-01-18 11:00:58,2024-01-18 13:15:13,Cerrado,3
283,EMP009,Sucursal_C,Valencia,Consulta Factura,CL003,Empresarial,2024-01-18 14:25:47,2024-01-18 14:41:02,Cerrado,5
284,EMP010,Sucursal_C,Valencia,Error Sistema,CL004,Basico,2024-01-18 15:50:23,2024-01-18 17:25:48,Cerrado,2
285,EMP011,Sucursal_C,Valencia,Instalación Software,CL005,Premium,2024-01-19 09:15:38,2024-01-19 10:30:55,Cerrado,4
286,EMP012,Sucursal_C,Valencia,Configuración Red,CL006,Empresarial,2024-01-19 12:20:49,2024-01-19 13:45:16,Cerrado,5
287,EMP001,Sucursal_A,Madrid,Problema Software,CL007,Basico,2024-01-19 15:05:24,2024-01-19 15:55:11,Cerrado,4
288,EMP002,Sucursal_A,Madrid,Fallo Hardware,CL008,Premium,2024-01-19 17:20:57,2024-01-19 19:35:22,Cerrado,5
289,EMP003,Sucursal_A,Madrid,Consulta Factura,CL009,Empresarial,2024-01-22 08:35:42,2024-01-22 08:50:57,Cerrado,5
